INFO:root:2022-04-02 11:48:56.103194 - Amostra 130 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:48:58.131637 - Amostra 131 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:00.158730 - Amostra 132 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:02.186970 - Amostra 133 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:04.214334 - Amostra 134 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:06.240924 - Amostra 135 | Leitura: 30748 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:49:08.268330 - Amostra 136 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:49:10.296708 - Amostra 137 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:12.324394 - Amostra 138 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:14.351835 - Amostra 139 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:16.379301 - Amostra 140 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:18.406690 - Amostra 141 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:20.434221 - Amostra 142 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:22.461769 - Amostra 143 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:24.488680 - Amostra 144 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:26.515771 - Amostra 145 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:28.543431 - Amostra 146 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:30.570941 - Amostra 147 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:32.598465 - Amostra 148 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:34.625950 - Amostra 149 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:36.651398 - Amostra 150 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:38.678955 - Amostra 151 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:40.706295 - Amostra 152 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:42.733785 - Amostra 153 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:44.761500 - Amostra 154 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:46.788930 - Amostra 155 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:48.815579 - Amostra 156 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:49:50.843319 - Amostra 157 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:52.870779 - Amostra 158 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:54.898593 - Amostra 159 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:49:56.926274 - Amostra 160 | Leitura: 30748 | Tensão 3.8461173741874446
